Name,Service,Phone number,Address,Website,Menu,Order
BEKOK@ 标记云吞面 Poey Kee Wanton Noodle, Dine-in · Takeaway,+60 11-1086 5807,+60 11-1086 5807,https://bekokpoeykeewantonnoodle.business.site/?utm_source=gmb&utm_medium=referral,[],[]
老友记云吞面, Dine-in · Takeaway,+60 13-720 9336,+60 13-720 9336,#,[],[]
Char Kuey Teow Bekok, Dine-in · Takeaway,+60 18-874 1789,+60 18-874 1789,#,[],[]
Warung Tok Pah, Dine-in · Takeaway,+60 13-767 7202,+60 13-767 7202,#,[],[]
KEDAI MAKAN FAH HING, Dine-in · Takeaway,+60 11-1087 0912,+60 11-1087 0912,#,[],[]
Warung Rahman Salan, Dine-in · Takeaway,+60 19-725 8061,+60 19-725 8061,#,[],[]
Kedai Kopi Tong Heng, Dine-in · Takeaway,+60 16-732 9795,+60 16-732 9795,#,[],[]
Cik Nisa Pau Puteri, Takeaway,+60 18-772 4532,+60 18-772 4532,#,[],[]
吗咯烧鱼食坊WebsiteDirections            Saved (0) Saved Save     , Dine-in · Drive-through · No delivery,+60 11-1087 0912,+60 11-1087 0912,https://www.facebook.com/%E5%90%97%E5%92%AF%E7%83%A7%E9%B1%BC%E9%A3%9F%E5%9D%8A-101087715884094,[],[]
