Name,Service,Phone number,Address,Website,Menu,Order
Restoran KG Gegar @ Taman Dagang AmpangWebsiteDirections            Saved (0) Saved Save     , Dine-in · Curbside pickup · No-contact delivery,+60 3-2330 1519,"G-6 Dagang Cahaya, Jalan Dagang 5, Taman Dagang, Ampang Jaya, Malaysia",https://www.facebook.com/Kari-Gegar-1674450326156469/,[],['https://www.foodpanda.my/restaurant/o6ow/restoran-kg-gegar?utm_source=google&utm_medium=organic&utm_campaign=google_reserve_place_order_action']
Dapur Kita Kaki Panggang, Dine-in · Takeaway,+60 16-774 3830,"No 29 & 30, Jalan Jati, Kampung Melayu Ampang, 68000 Ampang, Selangor, Malaysia",#,[],[]
Kedai Ayamas Bandar Baru Ampang, Dine-in · Takeaway · Delivery,+60 19-350 7906,"No. 6G, Jalan Wawasan Ampang 2/12, Bandar Baru Ampang, 68000 Ampang, Selangor, Malaysia",https://www.kedaiayamas.my/,[],[]
